Ingredient,Quantity,Unit,ExpiryDate,ProductionDate
alfredo,0,,,
apples,0,,,
artichoke,0,,,
avocado,0,,,
bacon,0,,,
basil,0,,,
batter,0,,,
bbq,0,,,
beans,0,,,
beef,0,,,
bell,0,,,
berries,0,,,
berry,0,,,
biscuits,0,,,
black,0,,,
blue,0,,,
bottled,0,,,
bread,0,,,
breadcrumbs,0,,,
breast,0,,,
broccoli,0,,,
brown,0,,,
bruschetta,0,,,
buffalo,0,,,
buns,0,,,
butter,0,,,
buttercream,0,,,
caffeine,0,,,
cajun,0,,,
cake,0,,,
cappuccino,0,,,
caramel,0,,,
carbonated,0,,,
carrots,0,,,
caesar,0,,,
cabbage,0,,,
cheese,0,,,
cheesecake,0,,,
cheesesteak,0,,,
cherries,0,,,
chicken,0,,,
chili,0,,,
chip,0,,,
chips,0,,,
chocolate,0,,,
cilantro,0,,,
cinnamon,0,,,
cocoa,0,,,
coffee,0,,,
cola,0,,,
coleslaw,0,,,
color,0,,,
cookie,0,,,
corn,0,,,
cornmeal,0,,,
cornsyrup,0,,,
cream,0,,,
crust,0,,,
cucumbers,0,,,
curly,0,,,
dill,0,,,
dip,0,,,
dough,0,,,
dressing,0,,,
edamame,0,,,
egg,0,,,
eggs,0,,,
extract,0,,,
feta,0,,,
fettuccine,0,,,
fillet,0,,,
flavors,0,,,
flour,0,,,
foam,0,,,
food,0,,,
four,0,,,
french,0,,,
fresh,0,,,
fries,0,,,
fructose,0,,,
frosting,0,,,
fruits,0,,,
frying,0,,,
garden,0,,,
garlic,0,,,
glaze,0,,,
graham,0,,,
grapes,0,,,
greek,0,,,
greens,0,,,
ground,0,,,
ham,0,,,
hearts,0,,,
herbs,0,,,
high,0,,,
hoagie,0,,,
hot,0,,,
ice,0,,,
jalapeños,0,,,
juice,0,,,
kale,0,,,
ladyfingers,0,,,
lasagna,0,,,
layer,0,,,
lemon,0,,,
lemonade,0,,,
lettuce,0,,,
linguine,0,,,
loaded,0,,,
mac,0,,,
macaroni,0,,,
mandarin,0,,,
mango,0,,,
mascarpone,0,,,
mashed,0,,,
mayonnaise,0,,,
meat,0,,,
melon,0,,,
milk,0,,,
milkshake,0,,,
molasses,0,,,
mozzarella,0,,,
mushrooms,0,,,
mustard,0,,,
nacho,0,,,
nachos,0,,,
natural,0,,,
navy,0,,,
noodles,0,,,
oil,0,,,
oils,0,,,
olives,0,,,
onions,0,,,
oranges,0,,,
optional,0,,,
parmesan,0,,,
parsley,0,,,
pasta,0,,,
patty,0,,,
patties,0,,,
peanut,0,,,
pecan,0,,,
pepper,0,,,
pepperoni,0,,,
peppers,0,,,
philly,0,,,
pineapple,0,,,
pizza,0,,,
plant,0,,,
poppers,0,,,
pork,0,,,
potassium,0,,,
potatoes,0,,,
provolone,0,,,
pulled,0,,,
quinoa,0,,,
red,0,,,
relish,0,,,
ricotta,0,,,
rice,0,,,
roll,0,,,
romaine,0,,,
root,0,,,
salad,0,,,
salmon,0,,,
salsa,0,,,
salt,0,,,
sandwich,0,,,
sassafras,0,,,
sauce,0,,,
sausage,0,,,
seasonal,0,,,
seasoning,0,,,
sesame,0,,,
shrimp,0,,,
sirloin,0,,,
smoothie,0,,,
sour,0,,,
southwest,0,,,
soy,0,,,
sparkling,0,,,
spices,0,,,
spicy,0,,,
spinach,0,,,
split,0,,,
steak,0,,,
strawberry,0,,,
strips,0,,,
sugar,0,,,
sweet,0,,,
swiss,0,,,
syrup,0,,,
tea,0,,,
teriyaki,0,,,
thick,0,,,
thin,0,,,
thyme,0,,,
tiramisu,0,,,
tofu,0,,,
tomato,0,,,
tomatoes,0,,,
tortilla,0,,,
truffle,0,,,
two,0,,,
vanilla,0,,,
vegetable,0,,,
vegetables,0,,,
veggie,0,,,
vinaigrette,0,,,
waffle,0,,,
water,0,,,
wedges,0,,,
whipped,0,,,
white,0,,,
whiz,0,,,
wine,0,,,
yogurt,0,,,
